,st_id,st_name,st_class,maths,science,english
0,1,Aarav Sharma,BTech-CSE,85,78,92
1,2,Priya Singh,BTech-CSE,91,88,84
2,3,Rahul Verma,BTech-CSE,76,82,79
3,4,Sneha Gupta,BTech-CSE,95,93,97
4,5,Vikram Patel,BTech-CSE,68,74,70
5,6,Ananya Mishra,BTech-CSE,89,90,86
6,7,Rohan Kumar,BTech-CSE,81,77,83
7,8,Aarav Sharma,BTech-CSE,85,78,92
8,9,Priya Singh,BTech-CSE,91,88,84
9,10,Rahul Verma,BTech-CSE,76,82,79
10,11,Sneha Gupta,BTech-CSE,95,93,97
11,12,Vikram Patel,BTech-CSE,68,74,70
12,13,Ananya Mishra,BTech-CSE,89,90,86
13,14,Rohan Kumar,BTech-CSE,81,77,83
